sku,weight (kg),length (cm),width (cm),height (cm)
P04474-B21,,,,0.7
P04525-B21,,,,1.5
N9X96A,0.46,,12.7,17.78
C8R20A,,,,
717971-B21,,,,
739888-B21,0.45,,18.419999999999998,13.969999999999999
P04533-B21,,,,1.5
P04527-B21,,,,
P19974-B21,,,,
822555-B21,,,,1.5
J9F37A,,,,
822559-B21,,,,1.5
P06194-B21,,,,0.7
P07926-B21,,,,0.7
P07922-B21,,,,0.7
P04517-B21,,,,1.5
698297-B21,,,,
872376-B21,,,,
875503-B21,,,,
877746-B21,,,,
873359-B21,,,,
P09090-B21,,,,1.5
P06584-B21,,,,0.7
P07930-B21,,,,0.7
715281-001,,,,
3PL81AA,,,,
666986-B21,,,1.3,7.6
J9829A,2.74,,18.919999999999998,12.95
Q1C17A,2,,6.6,13.11
J9820A,0.27,,,
JD362B,,,,
JL085A#ABB,0.69,,8.309999999999999,4.01
JL085A,0.69,,8.309999999999999,4.01
J9828A,2.44,,18.919999999999998,12.95
JL087A,0.88,,8.309999999999999,4.01
JL083A,0.17,,,
JL084A,0.26,,,
J9827A,0.48,,,
J9987A,0.79,,26.160000000000004,4.45
J9988A,0.99,,26.16,4.45
JH330A,0.7,,23.47,2.69
JH329A#ABB,,,,
JH327A,0.3,,11.48,2.69
J9980A#ABB,2.72,,44.25,4.39
JH407A,0.18,,11.43,3.56
JL680A,1.16,,25.4,4.39
JG708B,,,44,4.4
JH329A,0.5,,15.77,2.69
JG962A,6,,44,4.4
J9540A,34,,,
JL686A,4.52,,44.25,4.39
J9979A,0.82,,25.4,4.39
JH016A,1.2,,26.6,4.4
J9783A,0.82,,25.4,4.45
JL380A,0.82,,25.4,4.39
JL682A,2.41,,44.25,4.39
JL684A,3.67,,44.25,4.39
JG301B,10,,43.989999999999995,4.37
JL693A,,,10,1.7
JH328A,0.5,,15.77,2.69
J9780A#ABB,0.91,,25.4,4.45
JG933A,8,,44,4.36
JL681A,2.11,,25.4,4.39
813874-B21,,,,
455883-B21,,850,1.34,0.85
J8177D,,,,
JG081C,,,,
P9D93A,0.68,,30.5,11.4
727055-B21,,,,
700767-B21,0.07,,11.2,3.8
817749-B21,0.09,,12.11,1.3699999999999999
XZ613AA,,,,
453246-B21,0.45,,3.65,28.72
P9D94A,0.68,,30.48,11.43
647594-B21,,,8,
817738-B21,,,,
817718-B21,,,,
726537-B21,,,,
652238-B21,0.665,,13,0.95
726536-B21,0.66,,0.95,13.209999999999999
356963-B21,0.904,,,
JW127A,,,,
P9Q37A,1,,,
874571-B21,1.41,,39.4,26.389999999999997
503296-B21B,1.36,,8.629999999999999,3.81
867875-B21,,,,
664046-B21,2.84,,,
865408-B21,1.36,,6.8,22.53
P10939-B21,,,,
878945-B21,,,,
860657-B21,,,,
826850-B21,,,,
621552-B21,,,,
826846-B21,,,,
866526-B21,,,,
P02491-B21,,,,
P02498-B21,,,,
P24476-B21,,,,
J9852A,2.59,,11.940000000000001,71.63
867998-B21,0.59012367,,43.18,1.27
P9L22A,15.4,,203.2,67.95
874578-B21,,,,
788355-B21,0.45,,38.1,29.21
AF631A,5.2,,43.6,4.220000000000001
P9K37A,1361,,200.66,59.8
P9K07A,1360.77,,60,200.6
804326-B21,,,,
804394-B21,,,,
804428-B21,,,,
870549-B21,0.45,,16.8,1.5
804405-B21,,,,
869081-B21,,,,
804338-B21,,,,
869079-B21,,,,
716197-B21,,2,,
407339-B21,0.45,2,,
716191-B21,,2,,
716195-B21,,1,,
716193-B21,,4,,
716199-B21,,4,,
876805-B21,,4,,
P06789-425,,,41.6,36.83
P10813-421,,,19.5,44
P17081-B21,,,17.1,1.7
P18584-421,4.23,,24.5,11.89
PERFDL380-015,14.8,,44.55,8.74
P24842-B21,14.7870992,,17.5,3.44
PERFDL360-013,,,43.46,4.29
P02467-B21,14.8,,44.55,8.74
P11050-421,21,,64.8,46.25
P10812-421,,,19.5,44
P17201-B21,10.7047712,,17.1,1.69
P16005-421,4.23,,37.5,24.5
P23465-B21,14.7870992,,17.5,3.44
P23579-B21,,,17.1,1.69
P19774-B21,,,,
P24841-B21,14.7870992,,17.5,3.44
P11053-421,21,,64.8,46.25
P10811-421,,,19.5,44
P23578-B21,,,17.1,1.69
P09707-B21,14.9,,44.54,9.73
P19778-B21,,,17.1,1.69
J9578A,,0.5,,
P01367-B21,,,,
462976-001,,,,
AH166A,3.84,,,
EH970A,8,,,
Q1F52A,16.1,,15,21
Q1L90A,19.7,,43.8,55.4
Q7G13A,,,,
Q1L87A,39.5,,44.1,8.620000000000001
J9975A,0.45,,21.59,3.81
JW046A,,,,
R3J15A,,,,
R0K13A,1.2020188,,7.09,3.98
0F27454,,,4,1
0F27610,,,,
HUS728T8TALE6L4,,,,
0F27452,,,4,1
0F30144,,,4,1
0F27402,,,,
0B36040,,,4,1
HUA723020ALA640,0.69,,10.16,2.6100000000000003
HUS722T1TALA604,0.64,,10.16,14.7
HUA723030ALA640,0.69,,10.16,2.6100000000000003
DS-K2602,,,34.5,9.8
DS-K1F100-D8E,0.0876,,11.7,1.4300000000000002
DS-D5032FC-A,9.25,,80.3,51.3
DS-D5032QE,6.76,,80.4,50
DS-D5024FC,6,,,
DS-D5022FC,7.1,,,
DS-1280ZJ-TR13,,,,
ISD-SMG318LT-F,,,70,227
HS-SSD-C100/480G,,,6.99,10.01
DS-3E0310HP-E,1.22,,,
DS-7608NI-K2/8P,,,,
DS-7732NI-I4/24P,5,,256,7.1
DS-2TD1217B-3/PA,33.15,Fixed focal,13.716000000000001,12.192
DS-6704HUHI-K,1.16,,61.5,4.5
DS-2CC52D9T-AVPIT3ZE,2.00034072,Vari-focal,14.478000000000002,12.446000000000002
DS-2TD2617B-6/PA,1.7599369599999999,Fixed focal,11.43,11.43
DS-1280ZJ-S,,,,
DS-1280ZJ-DM21,,,13.5,
DS-7208HUHI-K2/P,2,,,
DS-9632NI-I8,10.0017036,,44.45,8.89
DS-1280ZJ-XS,4.5,,10,4.32
DS-7616NI-K2/16P,1,,38.5,5.2
DS-7204HQHI-K1/P,1.16,,,
DS-7208HQHI-K2/P,17.5,,,
DS-2AE4215T-D3(C),2,5,,16.8
DS-2CD2645FWD-IZS,1.8914786399999999,Motorized zoom,14.478000000000002,33.274
DS-2CD6924F-IS(4mm),3.5,0.4,19,20.8
DS-1260ZJ,,,,
DS-7204HUHI-K1/P,1.5,,,
DS-7216HUHI-K2/P,3.8,,38,4.8
DS-7216HQHI-K2/P,2,,,
DS-7608NI-I2/8P,2.99824312,,38.1,4.572
DS-7616NI-I2/16P,2.99824312,,38.1,4.572
DS-2TD2636B-15/P,1.81890392,Fixed focal,11.938,11.684
DS-7604NI-K1/4P,1,,31.5,4.8
DS-2TP31B-3AUF,0.35,0.31,5.9,19.6
DS-2TP21B-6AVF/W,0.653,0.62,24.4,10.4
HUS726060ALE610,0.715,,10.16,2.6100000000000003
NJ22222,,,,
MU04951,,,,
HUC109090CSS600,0.204,,7.01,1.48
MU03602,,,,
DT01481,,,,
DT01411,,,,
DT01181,,,,
GP57ES40.AHLE10B,0.2,,14.4,1.4
GP57EB40.AHLE10B,0.2,,14.4,1.4
IH21A0002,0.367,,17.5,
46-46433,,,,
CBL-500-150-S00,,1.5,,
COB02,,,,
50129064-001,,,,
CN80-RB-SHC1,,,,
CN80-HST-SHC,,,,
STND-22F00-001-6,,,,
46-46633,,,,
CX80-BAT-EXT-WRLS1,,,,
CCB05-100BT-07N,,,,
STND-15R00-000-6,,,,
STND-15F03-009-4,,,,15
CBL-500-300-S00,,3,,
BAT-SCN01A,,,,
VMHOLDERK,,,,
STND-19R02-002-4,,,,19
STND-08R00-000-6,,,,
8620903RINGSCR,,,,
HOLDER-008-U,,,,
CBL-500-300-C00,,,,
AP-100BT-07N,,,,
CCB00-010BT-01N,,,,
53-53235-N-3,,2.9,,
STND-15F03-009-6,,,,15
CT40-SH-DC,,,,
BAT-SCN03,,,,
1300G-2USB,0.16,3,7.9,15
7580G-5USBX-0,0.34,,8.3,15
MK5145-31A38-EU,0.1,650,6.3,5.1
MK5145-32A38-EU,0.1,,16.9,5.1
SL42-055301-K-0,,,,
1300G-1USB,0.16,,7.9,15
1980IFR-3SER,0.335,,7.5,19.5
1910IER-3USB,,,,
1980IFR-3,0.335,,7.5,19.5
1980IFR-3USB,0.335,,7.5,19.5
1981IFR-3USB-5,0.42,,7.5,19.5
MK7120-31C41,,,,
3320G-4USB-0,0.077,,5.1,2.6
MK3780-61C41,0.195,650,,
1200G-2USB-1,0.125,,18,9.7
1300G-2,0.16,,15,7.9
MK7580-30C41-02,,,,
MK7820-00C41,0.7,650,15.2,15.2
SL22-022201-K,,,,
SL42-076202-H-K,0.2,,7.33,14.559999999999999
7980G-2USBC-0,0.539,,15.2,14.8
1202G-2USB-5BF,0.18,,6.6,9.2
MK7120-71C41,0.4,650,,
MK9540-37A38,0.149,650,7.8,5.6
MK7120-31A38,0.4,650,10.2,15
1202G-1USB-5,,,,
1202G-1,,,,
7190G-2USBX-0,0.41,,10.8,14.8
7980G-2USBX-0,0.539,,15.2,14.8
MK5145-71A38-EU,0.1,650,6.3,5.1
SL42-076302-H-K,0.2,,7.33,14.559999999999999
1300G-1,0.16,,15,7.9
1400G2D-2USB,0.119,,4.3,6.6
MK7580-30B38-02-A,0.34,,8,15
MK5145-71C41-EU,0.1,650,,
1400G2D-2,0.119,,18,6.6
1250G-2USB-1,0.133,,16.8,7.4
1400G2D-2USB-1,0.119,1.5,6.6,4.3
1202G-2,,,,
1250G-2,0.133,,,
MS5145-38-3-EU,0.1,650,6.3,5.1
1452G2D-2USB-5,0.21,,17.3,8.2
7980G-2-1D,0.539,,15.2,14.8
7580G-2,,,,
1602G2D-2USB-OS,0.1,,4.8,12
1250G-2KBW-1,,,,
1200G-2,0.125,,18,9.7
MK7120-31D41,0.4,650,10.2,15
1300G-2KBW,0.16,,,
YJ HF600-1-2USB,0.34,620,9.82,17
MK9540-37C41,0.149,,7.8,19.8
MK7820-00C47,0.7,650,,
MK3580-31C41,0.17,650,,
1200G-1,0.125,,6.6,9.7
MK9540-77A38,0.149,650,,
1910IER-3,0.3,,7.5,13.3
7190G-0USBX-0,0.41,,10.8,14.8
MK7120-71A38,0.38,650,,
1250G-2USB,0.133,,,
1280IFR-3SER,0.335,,7.5,19.5
3320G-5USBX-0,0.077,,5.1,2.6
MK3580-32A38,0.17,,6.7,10.8
MK3780-61A38,0.195,650,18.9,7.3
MK7820-00C38,0.7,650,15.2,15.2
MS7120-41-3,0.4,,10.2,15
1202G-2USB-5,0.18,,6.6,9.2
8670100RINGSCR,0.136,,,
MK3580-31A38,0.17,650,27.9,10.8
MK5145-31C41-EU,0.1,650,6.3,5.1
MB4-BAT-SCN01UKD0,,,,
CX80-QBC-UV-0,,,,
EDA50-QBC-3,,,,
EDA51-HB-2,,,,
CT40-QBC-2,,,,
EDA60K-CB-3,,,,
EDA50-QBC-2,,,,
229042-000,,,,
MB4-SCN02,,,,
3320G-4,0.077,,5.1,2.6
99EX-NB-2,,,,
MB4-BAT-SCN02,,,,
EDA50-CB-2,,,,
COMMON-QC-2,,,,
220540-000,,,,
MB4-BAT-SCN01EUD0,,,,
EDA60K-HB-2,,,,
CT40-CB-CNV-2,,,,
EDA50K-QBC-E,,,,
99EX-QC-2,,,,
CT40-EB-2,,,,
VM3A-L0N-1A4A20E,3,,31.8,26
213-008-001,,,,
ENM533640,,,,
PB32A10004000,0.828,,7.2,18.2
850-812-900,,,,
I24504,,,,
XF2-00-03000000,3.5,1,10.4,10.5
IH21-EPL-EDA50,,,,
SF61BHP-SA001,0.184,,4.6,3.9
ENM533529,,,,
I20103,,,,
203-186-100,,,,
IF2B010002,1,,,4.32
IH21-EPL-CT40,,,,
EDA71-0-B961SAGOK,,,11.8,21.4
318-034-034,,,,
CCB10-010BT-07N,,,,
213-065-001,,,,
318-063-001,,,,
PX6E010000000120,,,,
CT50-HB-0,,,,
990023-0004,,,,
PR2A300610111,0.309,,4.8,6.3
PC43DA00000202,1.72,1.727,11,16.7
852-916-002,,,,
203-183-410,,,,
XJ3-00-07000000,,,,
MB12-SCN02,,,,
8680I200-2,0.168,,5.6,
VM1A-L0N-1A4B20E,1.2,,26.8,21.4
RP2A0000C30,0.72,,25,16
CT40-L1N-27C11BE,0.278,,7.7,16.2
CT40-L0N-27C11AE,0.278,,7.7,16.2
EDA71-CASE-1,,,,
PB22A10004000,0.678,,10.1,7.1
XJ9-00-07000000,,,,
1-970649-47-0,,420,15.4,
236-197-001,,3.65,,
CK3XAA4K000W4100,0.499,,8.3,21.6
I90078-0,,153,5.2,
VM1A-L0N-1A4A20E,21,,26.8,21.4
8680I505RHSGH,,,,
EDA71-1-B741SAGOK,,,11.8,21.4
CT40-SH-CC,,,,
CT40-WS-KIT,,,,
PX4E010000000120,12.6,,48.2,27.5
EDA61K-HS-3PK,,,,
346-069-107,,,,
I24505,,,,
PHD20-2234-01,,,,
PX940V30100000300,23,2.2,10.6,39.87
EDA71-0-B741SAGOK,0.55,,11.8,21.4
EDA51-0-B742SOGOK,0.272,,15.7,1.69
BAT-SCN05,,,,
50149348-001,,,,
203-922-002,,,,
213-024-001,,,,
236-297-001,,,,
1-970657-01-0,,300,11,
C43-00-43900P07,8.2,600,10.2,2.54
PX940V30100060600,23,55,10.6,39.87
CT40-L0N-27C21AE,0.278,,7.7,16.2
213-063-001,,,,
213-064-001,,,,
EDA51-1-B633SOGOK,0.272,,15.7,1.69
XJ4-00-07000000,,,,
203-971-001,,,,
C82-00-46000004,18.2,0.64,15.2,2.54
1-970646-07,,450,11,
203-187-420,,,,
VM1A-L0N-1A6A20E,1.2,,26.8,21.4
1-040187-01FRE,,,,
EDA71-1-B741EAGOK,0.55,,11.8,21.4
EDA71-1-B961SAGOK,0.55,,11.8,21.4
EDA51-0-B633SOGOK,0.272,,15.7,1.69
226-109-003,,,,
PM43A11000000302,15.8,450,10.6,120
318-055-015,,,,
CT40-WS-PB,,,,
CN75AN5KCF2A6101,0.45,,8,16.9
CT40-L0N-2SC110E,0.278,,7.7,16.2
CN80-L1N-5EC110E,0.5,,7.8,3.3200000000000003
CK65-L0N-DSC210E,0.498,,8.3,22.7
CK65-L0N-E8N212E,0.498,,22.7,4.2
EDA60K-0-N223ENLOK,0.415,,7.85,2.8
CK65-L0N-BSC210E,0.498,,8.3,22.7
CK65-L0N-AMN210E,0.498,,8.3,22.7
CT60-L0N-BSC211E,0.35,,8.25,16
CT60-L0N-ASC210E,0.35,,8.25,16
CT40-L1N-1NC110E,0.278,,7.7,16.2
EDA50K-1-C121NGOK,0.3,,7.3,16.4
EDA60K-0-N223ENEOK,0.415,,21.55,2.8
CT60-L0N-BRC210E,0.35,,8.25,16
CK65-L0N-B8N212E,0.498,,22.7,4.2
CT60-L0N-ASC110E,0.35,,8.25,16
CK75AB6MC00A6401,0.584,,8,23.7
EDA70-0-C121SNGOK,0.55,,11.8,21.4
CN80-L0N-1EN222E,0.5,,7.8,3.3200000000000003
717376-001,,,,
905774-001,,,,
854108-850,,,,
SS660A,3.25,,60.3,15
L01104-001,,,,
911502-101,,,,
CQ849A,,,,
CN622AE,0.14,,24.169999999999998,7.159999999999999
CN625AE,0.4,,27.089999999999996,7.159999999999999
CN628AE,0.21,,24.2,8.66
B3P20A,0.25,,20.2,4
C4844A,0.15,,12.5,14.3
C8773EE,0.047,,3.6,11.4
CN053AE,0.09,,11.4,3.6
C2P19AE,0.05,,10.6,11.35
C2P07AE,0.07,,11.3,11.5
F9J65A,,,,
L0R95AE,0.17,,21.5,4.8
F6V25AE#BHK,0.05,,11.3,11.5
Q6002-67902,,,,
T7B31AA,,,,
826630-B71,,,,
836623-081,,,,
833126-001,,,,
840721-001,,,,
830015-001,,,,
903008-B31,,,,
801554-002,,,,
903237-601,,,,
L01075-001,,,,
687945-001,,,,
H6Y90AA#ABB,0.7,,15.6,7.7
710415-001,,,,
4SC19AA#ABB,,,,
E8372-W,0.04,,,
51992854,,,,
51093RKS,0.192,,7.340000000000001,15.8
46C0563,,,,
81Y9935,,,,
04W0428,,,,
41A5136,,,,
92P1108,,,,
03X7048,,,,
45N1025,0.345,,20.880000000000003,2.2800000000000002
00W1239,,,,
00L4680,,,,
39r7350,,,,
49Y2078,,,,
00L4521,,,,
00W1160,,,,
49Y2005,,,,
00MJ147,,,,
0A65729,,,,
0A36306,0.345,,,
42D0485,,,,
49Y6092,0.69,,10.16,2.62
00Y2505,,,,
44W2234,0.8,,10.16,2.6100000000000003
90Y8926,1.74,,,
00Y2684,,,,
00Y2503,,,,
42D0520,,,,
41Y8376,,,,
44W2236,,,,
2076-3546,,,,
81Y9875,,,,
81Y9915,,,,
49Y6107,,,,
43X0805,,,,
90Y9000,,,,
44W2244,0.8,,10.16,2.6100000000000003
81Y9671,,,,
49Y2048,,,,
ACLK,,,,
42D0753,,,,
00W1236,,,,
00AJ081,,,,
49Y1866,,,,
85Y6274,,,,
00NA241,,,7,1.48
39M4533,,,,
00Y2431,,,,
49Y6002,,,,
49Y1875,,,,
00W1240,,,,
49Y2052,,,,
49Y1870,,,,
43W7626,1,,7,1.48
42D0752,,,,
49Y3727,,,,
81Y9844,,,,
81Y9893,,,,
00Y2683,,,,
90Y9001,,,,
81Y9731,,,,
44W2245,,,,
49Y1899,,,,
81Y9650,,,,
81Y9886,,,,
49Y6169,,,,
00L4568,,,,
00NA242,,,,
2076-3549,,,,
00Y2430,,,,
81Y9878,,,,
43X0814,,,,
49Y3729,,,,
43W7629,,,,
42D0633,,,,
40K6823,,,,
90Y8877,1.74,,,
81Y9872,,,,
85Y6268,,,,
00NA441,,,7,1.48
00NA626,,,,
41A5327,1.63,,49.5,6.3
00FE675,,,,
00D5047,,,,
00D5032,,,,
49Y1418,,,,
46W0672,,,,
49Y1400,,,,
49Y1397,,,,
00D5048,,,,
46W0796,,,,
00D5035,,,,
49Y1563,,,,
00D4970,,,,
00D5036,,,,
46C3447,,,,
49Y3761,0.113,,16.7,6.4
49Y7970,,,,
27R2483,,,,
45N0306,,,,
00J6844,,,,
94Y6669,,,,
94Y6668,,,,
94Y5974,,,,
01PL041,0.2,,10.540000000000001,10.2
P1905S-B2,4.6,,41.5,36.2
E1780SD-B1,,,,
XUB2390HS-B1,,,,
XB2481HS-B1,,,,
GB2730QSU-B1,,,,
XB3270QS-B1,,,,
XUB2395WSU-B1,,,,
XUB3493WQSU-B1,,,,
XU2493HSU-B1,,,,
XUB2493HSU-B1,,,,
XU2294HSU-B1,,,,
E2083HSD-B1,,,,
XU2395WSU-B1,4,,49.9,No
XUB2292HS-B1,,,,
B2483HSU-B5,,,,
B1980SD-W1,,,,
B2791HSU-B1,,,,
XUB2792HSU-B1,,,,
E1980SD-B1,,,,
B1780SD-W1,,,,
B1780SD-B1,,,,
XU2492HSU-B1,,,,
XUB2792QSU-B1,,,,
B2791QSU-B1,,,,
XU2292HS-B1,,,,
XUB2294HSU-B1,,,,
B2083HSD-B1,,,,
X2783HSU-B3,4.4,,62.2,37.2
XUB2492HSU-W1,,,,
XUB2595WSU-B1,,,,
B2483HSU-W5,,,,
XUB2492HSU-B1,5.4,,54,32.9
X2483HSU-B3,,,,
XUB2792UHSU-B1,,1.5,,
XU2792HSU-B1,,,,
B1980SD-B1,,,,
B2280WSD-B1,5.5,,51.2,34.9
XU2390HS-B1,,,,
X2481HS-B1,,,,
B2875UHSU-B1,,,,
XB2483HSU-B3,,,,
XUB2792QSU-W1,,,,
XUB2495WSU-B1,5.88,,53.2,35
XUB2294HSU-W1,,,,
MD BRPCV03-W,,,,
OWM001,,,,
LE8640UHS-B1,63.8,,1.52,109.89000000000001
LH6542UHS-B1,35,,18.7,99.8
LE4340UHS-B1,,,,
LH5546HS-B1,,,144.8,95.2
TF6538UHSC-B2AG,69,,167,102
LE7540UHS-B1,53.3,,1.25,95.5
LH7542UHS-B1,79.8,,168.35,96.15
LH3246HS-B1,,,85.9,60.3
T5561UHSC-B1,30.7,,2,73.25
TF5538UHSC-B2AG,41,,4.13,76.55
LH5050UHS-B1,14.3,,1.69,65.6
LE5540UHS-B1,,,,
TF3238MSC-B2AG,14.5,,74.85,45
LE5040UHS-B1,,,,
S2820HSB-B1,,,,
LH8642UHS-B1,83.3,,37.3,142.7
T2235MSC-B1,,,,
T2336MSC-B2AG,6.3,,56.1,25.4
T1531SR-W5,,,,
T1532MSC-B5X,,,,
T2252MSC-B1,,,,
T1732MSC-B5X,5.6,,38.7,34.2
TF2234MC-B6AGB,4.4,,51.8,31.4
T2234AS-B1,,,,
T2236MSC-B2,,,,
T2234MSC-B3X,7.2,,51.75,35.17
T1531SR-B5,,,,
T1531SAW-B5,,,,
T2234MSC-B6X,4.4,,51.8,35.1
TF2415MC-B2,,,,
TF1934MC-B6X,4.4,,41.6,34.4
T2236MSC-B2AG,5.8,,52.25,25.4
TF2234MC-B3AGB,4.4,,51.8,31.4
T1732MSC-W5AG,5.6,,38.7,34.2
T1931SR-B5,,,,
T2253MTS-B1,5.6,,51.15,53.9
TF2738MSC-B1,,,,
T2736MSC-B1,,,,
T1931SAW-B5,6.6,,43.2,39
T1731SAW-B5,5.8,,38.7,34.2
T1932MSC-B5X,,,,
T1532MSC-B5AG,,,,
TF1015MC-B2,,,,
TF3215MC-B1,12.8,,89,63
TF5538UHSC-W2AG,,,140,93
TF1515MC-B2,4.6,,46,47
T2336MSC-B2,,,,
TF5538UHSC-W1AG,41,,129.4,76.5
T2453MTS-B1,,,,
T1731SR-W5,,,,
T1633MC-B1,,,,
T1932MSC-W5AG,,,,
TF2215MC-B2,,,,
T1732MSC-W1X,5.6,,38.7,34.2
T1732MSC-B5AG,5.6,,38.7,34.2
T1731SR-B5,,,,
TF1634MC-B6X,,,,
TF3215MC-B1AG,12.8,,89,63
T3234MSC-B3X,16.2,,78.2,47.6
T2435MSC-B2,6.2,,57.1,34.8
T1721MSC-B1,,,,
T2454MSC-B1AG,,,,
T1932MSC-B5AG,,,,
WP-II960A,,,16.8,3.45
46120,0.65,,5.36,10.5
41099,,,,
AXXRJ45DB93,,,,
A2U8PSWCXCXK2,,0.875,,
A2U8PSWCXCXK1,,0.725,,
AXXCBL470CVCR,,0.47,,
A2U4PSWCXCXK2,,0.875,,
AXXCBL620CRCR,,0.62,,
AXXCBL625CVCX,,0.625,,
AXXCBL600CVCR,,0.6,,
AXXCBL450CVCR,,0.45,,
AXXCBL530CVCR,,0.53,,
A2UL8RISER2,,,,
A2UX8X4RISER,,,,
A2U8X25S3PHS,,,,
A2UREARHSDK2,,,,
AUP4X35S3HSDK,,,,
BKCM8I7CB8N,,,9.5,6.5
FSP065-10AABA,,,,
E97379-003,,,,
FR1UFAN10PW,,,,
AXXSTCPUCAR,,,,
AXXTPME3,,,,
AXXP3SWX08080,,,,
100HFA018LS,0.24,,15,7.92
SSDPE2KE016T701,0.131,,,1.5
SSDPE21K375GA01,,,,1.5
SSDSC2KB240G7,,,,0.7
SSDPE2KE064T701,0.131,,,
SSDSC2BX012T4,0.094,,,0.7
SSDSC2BA200G3,0.0736,,,
SSDSC2BB016T6,0.094,,,
SSDPE2KX020T701,0.131,,,
SSDPE21D280GAX1,0.14,,,
SSDSC2KG960G801,,,,0.7
SSDSC2KB480G801,,,,0.7
SSDPEKNW020T8X1,0.01,,2.2,
SSDSC2BB600G4,0.072,,6.9799999999999995,0.7
SSDPE2KX040T701,0.131,,,1.5
SSDSC2BB480G4,0.072,,,
SSDPE2KX020T801,0.139,,,1.5
SSDPE21K015TA01,,,,1.5
SSDSC2KB960G801,,,,0.7
SSDPE2KE016T801,0.139,,1.5,
SSDPEKNW512G8X1,0.01,,2.2,
HBRPEKNX0203A01,0.01,,8,2.2
SSDSA2BW300G3,,,,
SSDSC2BA100G3,0.07,,,
SSDPE2ME800G401,0.115,,,1.5
SSDSC2BB240G7,0.062,,,0.7
SSDPE2KX010T701,0.131,,,
SSDPE21K750GA01,,,,
SSDPE2KX040T801,0.139,,,1.5
SSDSC2KG480G801,,,,0.7
SSDSA2BW080G3,,,,
SSDSC2BA800G3,0.0736,,,
SSDPE2ME020T401,0.125,,,1.5
SSDSC2BB480G6,0.088,,,
SSDSC2KB240G701,,,,0.7
SSDPE2KX080T801,0.139,,,1.5
SSDSC2KG240G801,,,,0.7
SSDSC2KB240G801,,,,0.7
SSDSC2KG019T801,,,,0.7
SSDPE2KE076T801,0.139,,1.5,
SSDSCKKB960G801,,,2.2,8
SSDPE2ME400G401,0.115,,,1.5
SSDSC2BA400G3,0.0736,,,
SSDSC2BX016T401,0.094,,,0.7
SSDSC2BB800G7,0.063,,,
SSDSCKKW256G8X1,,,2.2,
SSDPE21D280GAM3,0.14,,,
SSDSC2KB038T801,,,,0.7
SSDPEKNW020T801,0.01,,2.2,
HBRPEKNX0202A01,0.01,,8,2.2
SSDSC2BB240G4,0.07,,,
SSDPE2KX010T801,0.139,,,1.5
SSDSC2KG038T801,,,,0.7
SSDPE2KE064T801,0.139,,1.5,
SSDSC2BB800G4,0.072,,,
SSDSA2VP020G201,68,,,0.95
SSDSCKKB480G801,,,2.2,8
SSDSCKKB240G801,,,2.2,8
SSDSC2BX400G4,0.082,,,0.7
HBRPEKNX0101A01,0.01,,8,2.2
SSDPE2KE032T801,0.139,,1.5,
AXX1U2UCMA,,,,
AXX3U5UCMA,,,,
E10GSFPSR,,850,,
EXPI9404PT,,,2.16,12
EXPI9301CTBLK,,,2.5,12
PWLA8490MT,,,32,
X550T2G1P5,,,,
X527DA2OCPG1P5,,,,
X540T2BLK,,,5,Low-Profile (LP) / Full-Height (FH)
X710DA4FHBLK,,,,
X550T1BLK,,,8,Low-Profile (LP) / Full-Height (FH)
AXXSTSFPPKIT,,,,
AX200.NGWG.NV,0.00283,,2.2,0.24
AX201.NGWG.NV,0.00233,,,
9260.NGWG.NV,0.0029,,,
9560.NGWG.NV,0.0028,,,
EXPI9301CT,,,2.5,12
AXX10GBTWLIOM3,,,,
X710T4,,,8,
E10G42BTDABLK,,,5,Low-Profile (LP) / Full-Height (FH)
7260.HMWWB.R,0.003,,3,2.68
I350T2V2,,,,
I357T4OCPG1P5,,,,
X527DA4OCPG1P5,,,,
E10G42AFDA,,,2.5,Low-Profile (LP) / Full-Height (FH)
I210T1BLK,,,2.5,Low-Profile (LP) / Full-Height (FH)
X550T2BLK,,,,
I350T2V2BLK,,,5,Low-Profile (LP) / Full-Height (FH)
X710DA2G2P5,,,,
BOXNUC8I5BEH2,,,,
BXNUC10I3FNK2,,,42.6,3.8
BOXNUC8I3BEH2,,,38.4,5.1
BXNUC10I3FNH2,,,,
BXNUC10I7FNH3,,,,
BOXNUC7CJYH2,,,38.4,5.1
BOXNUC8I5BEK2,,,38.4,3.6
BXNUC10I7FNH2,,,,
BXNUC10I3FNH3,,,,
BOXNUC7I5BNK,,,,
BXNUC10I7FNHJA3,,,42.6,5.1
BXNUC10I3FNHFA3,,,42.6,5.1
AXX1300TCRPS,,,,
AXX1100PCRPS,,,,
CM8064401830901,,,,
BX80671I76900K,,,4.4,10.1
BX80684I58600K,0.087,,4.4,10.1
BX80684I59400F,,,7,10.1
BX80684I59600KF,,,41.6,
CD8069504194301,0.201,,4.3,11.2
CM8068404174707,,,,
BX80684I99900,,,,
BX8070110500,,,,
BX8070110100,,,,
BX8070110700,,,,
BX80660E52620V4,,,4.4,11.7
CM8067702868314,,,,
BX806734112,0.2,,4.3,11.2
BX80684I99900K,0.623,,18,18
BX80684I79700K,0.087,,4.4,10.1
P4X-UP0240-2X4M-1066,,,,
CM8068403362610,0.338,,7,10.1
BX8069510920X,,,,
BX8070110400,,,,
BX8070110700F,,,,
BX80660E52680V4,0.0995,,11.6,4.4
BX806734108,0.2,,4.3,11.2
CM8068403653917,,,41.6,
